date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust,uv_index,uv_index_clear_sky,european_aqi,european_aqi_pm2_5,european_aqi_pm10,european_aqi_nitrogen_dioxide,european_aqi_ozone,european_aqi_sulphur_dioxide,us_aqi,us_aqi_pm2_5,us_aqi_pm10,us_aqi_nitrogen_dioxide,us_aqi_carbon_monoxide,us_aqi_ozone,us_aqi_sulphur_dioxide
2024-08-20 00:00:00+00:00,16.1,11.4,197.0,6.3,0.7,49.0,0.37,0.0,0.0,0.0,19.6,16.25,11.204166,3.15,19.6,0.14,33.854164,33.854164,10.185606,3.1028368,0.6199678,11.324984,0.38167942
2024-08-20 01:00:00+00:00,16.4,11.1,189.0,7.0,1.3,58.0,0.37,0.0,0.0,0.0,23.199999,16.908333,11.645833,3.5,23.199999,0.26,35.225693,35.225693,10.587121,3.4475963,0.6260064,10.474645,0.70883316
2024-08-20 02:00:00+00:00,16.5,10.5,187.0,7.3,1.2,56.0,0.37,0.0,0.0,0.0,22.4,17.533333,12.083332,3.65,22.4,0.24000001,36.52778,36.52778,10.984848,3.5953507,0.62922704,9.875541,0.65430754
2024-08-20 03:00:00+00:00,16.8,10.6,186.0,6.7,1.2,55.0,0.36,0.0,0.0,0.0,22.0,18.108332,12.504166,3.35,22.0,0.24000001,37.72569,37.72569,11.367423,3.2998424,0.62801933,9.295764,0.65430754
2024-08-20 04:00:00+00:00,17.6,10.6,186.0,8.7,1.2,54.0,0.35,0.0,0.0,0.0,21.6,18.575,12.899999,4.35,21.6,0.24000001,38.697918,38.697918,11.727271,4.2848697,0.62520134,8.889918,0.65430754
2024-08-20 05:00:00+00:00,17.8,10.6,196.0,12.3,1.6,52.0,0.35,0.0,0.2,0.2,20.8,18.983334,13.3125,6.15,20.8,0.32000002,39.54861,39.54861,12.102272,6.05792,0.62077296,8.638683,0.87241006
2024-08-20 06:00:00+00:00,17.0,10.8,217.0,12.0,1.8,54.0,0.33,0.0,0.6,0.6,21.6,19.325,13.6416645,6.0,21.6,0.35999998,40.260418,40.260418,12.401514,5.910166,0.6191627,8.445424,0.98146135
2024-08-20 07:00:00+00:00,14.8,9.9,216.0,11.1,2.3,59.0,0.33,0.0,1.35,1.35,23.600002,19.516668,13.866665,5.55,23.600002,0.46,40.659725,40.659725,12.606059,5.466903,0.62640905,8.368119,1.2540895
2024-08-20 08:00:00+00:00,13.1,9.9,204.0,7.0,1.9,69.0,0.31,0.0,2.45,2.45,27.6,19.641668,14.004166,3.5,27.6,0.38,40.920143,40.920143,12.73106,3.4475963,0.63365537,8.445424,1.0359869
2024-08-20 09:00:00+00:00,11.9,9.5,190.0,5.4,1.8,84.0,0.3,0.0,3.55,3.55,33.600002,19.783335,14.070833,2.7,33.600002,0.35999998,41.21528,41.21528,12.791666,2.6595745,0.6364734,8.831942,0.98146135
